MAC,00:06:66:46:49:E3,00:06:66:46:49:E6,00:06:66:46:49:E4,00:06:66:46:49:F2,00:06:66:46:49:E5,00:06:66:46:49:D8,00:06:66:46:49:D7,00:06:66:46:49:F4,00:06:66:48:57:85,00:06:66:48:57:29,00:06:66:48:57:8A,00:06:66:48:57:2C,00:06:66:46:49:E7,00:06:66:46:49:D5,00:06:66:48:57:15,00:06:66:48:57:2A,00:06:66:48:57:20,00:06:66:48:57:89,00:06:66:48:57:17,00:06:66:48:57:86,00:06:66:60:4C:39,00:06:66:60:4C:3A,00:06:66:60:4C:2E,00:06:66:60:4C:3C,00:06:66:60:4C:46,00:06:66:48:57:84,00:06:66:46:49:D4,00:06:66:45:D6:35,00:06:66:46:49:F3,00:06:66:60:4C:42,00:06:66:60:4C:33,00:06:66:60:4C:18,00:06:66:60:4C:3B,00:06:66:60:4C:32,00:06:66:60:4C:48,00:06:66:60:4C:31,00:06:66:60:4C:28,00:06:66:60:4C:43,00:06:66:48:57:21,00:06:66:48:57:16,00:06:66:48:57:2B,00:06:66:48:57:8B,00:06:66:48:57:23,00:06:66:48:57:88,00:06:66:48:57:22,00:06:66:48:57:19,00:06:66:48:57:1F,00:06:66:48:57:1E,00:06:66:48:57:87,00:06:66:48:57:14,00:06:66:48:57:28,00:06:66:46:49:E2,00:06:66:48:57:18
co_alpha,3.02095,1.251516667,3.022266667,3.001366667,2.859583333,3.013083333,2.72245,3.197216667,2.145133333,2.136383333,2.027233333,2.362955393,2.773154409,2.895749202,2.2643,2.025316667,1.964266667,1.7666,2.08765,2.425,1.710066667,1.9506,1.974833333,1.848633333,1.829933333,2.619431607,1.398033333,1.54255,2.20635,1.379966667,1.894983333,1.525316667,1.626183333,1.35405,1.689316667,1.37285,1.457416667,1.680516667,4.796783,4.75065,4.727817,4.681017,4.723717,4.798967,1.97544331116579,4.85335,4.740133,4.547917,4.7723,4.60765,4.7041,4.715517,4.822383
co_mics_1,2.48715,2.511866667,2.306916667,2.228366667,2.148983333,1.83765,2.46255,2.3685,1.342733333,2.179533333,2.430383333,1.701083333,2.652166667,1.633,4.683833333,2.111,2.489083333,1.268983333,1.719483333,2.033666667,4.646166667,4.63825,4.594316667,4.6853,4.564266667,4.692797442,1.237716667,2.4152,2.2452,4.599633333,4.577,2.201333333,4.505,4.571666667,4.646066667,4.526333333,4.5098,4.6145,2.880017,3.278917,2.480867,1.996483,1.795683,2.3659,2.09940199517725,1.854317,1.66085,2.79185,2.519917,2.88555,2.613333,1.822867,1.6216
co_mics_2,2.8907,3.145783333,2.367016667,3.226733333,2.783716667,2.64715,2.599683333,2.705683333,3.7724,3.5472,3.248266667,3.851401411,2.770220354,1.788091297,4.41685,3.006083333,3.562716667,4.149683333,3.93395,2.763166667,4.72535,4.71375,4.775766667,4.832833333,4.7525,4.440350552,1.78375,2.463416667,2.208166667,4.673116667,4.76755,3.610166667,4.766333333,4.747233333,4.745,4.751533333,4.76855,4.743766667,4.353533,4.324967,4.237,4.310817,4.29505,4.159883,3.21999622933088,4.297017,4.193017,4.337233,4.306733,4.37115,4.347,4.290767,4.260617
co_figaro,2.339333333,2.180183333,2.2826,2.032033333,1.861983333,1.47115,1.5897,2.189,2.049316667,1.705766667,1.394533333,1.990227692,2.894905933,1.990605629,4.541183333,1.985533333,2.207733333,1.928366667,3.295583333,3.22665,4.612283333,4.58635,4.54095,4.000733333,4.6565,4.015464876,0.342,1.751833333,2.010666667,4.052466667,4.045533333,2.342816667,4.004783333,3.830866667,4.04625,4.05225,4.0792,3.9186,2.341233,2.38595,2.614733,2.6066,2.49815,2.558317,1.89184307313773,2.96185,2.031617,2.723667,2.508783,2.5776,2.70145,2.493233,3.088433
no2_mics,4.992583333,5,5,5,5,4.98825,5,5,4.850483333,4.873916667,4.918583333,4.770088655,5.016797338,5.007847376,4.499833333,4.288,4.412166667,4.68575,3.729083333,4.695833333,4.26,4.40625,4.430966667,4.313716667,4.4115,4.162257761,5,4.898933333,4.976866667,4.720866667,4.786066667,4.5091,4.71575,4.769233333,4.534866667,4.665616667,4.7356,4.866433333,4.3141,4.500033,4.374183,4.172183,4.419017,4.4606,4.26918653295048,4.480983,4.534767,4.346167,4.524017,4.511617,4.43685,4.470567,4.28895
no2_figaro,5,5,5,5,5,5,5,4.99,4.982033333,4.899916667,4.963916667,4.82652926,4.996641971,4.909861806,3.554416667,4.096583333,3.8055,4.951,2.13575,4.789166667,3.701333333,4.11975,3.672,3.96025,3.4295,3.168746045,4.868,3.54755,4.8795,3.914633333,4.113983333,4.525316667,4.11535,4.252016667,4.1175,4.02605,3.543966667,4.283666667,3.3428,3.149283,3.5242,3.343633,3.611683,4.276533,4.06246890551078,3.6679,3.70665,3.100083,3.654317,3.616017,3.389733,3.1322,3.7177
voc_as,4.865366667,4.843116667,4.12545,4.836933333,4.490083333,4.594483333,4.396533333,4.289016667,4.049516667,4.07315,4.34535,3.035475033,4.222472527,4.536619719,4.590416667,3.027916667,4.117316667,3.408166667,3.10015,1.719483333,3.987083333,4.048583333,3.9712,4.345283333,4.250066667,4.381337401,2.527466667,2.245466667,3.3822,3.701666667,3.632983333,2.839616667,3.6887,3.837116667,3.77685,3.816833333,3.85235,3.833116667,2.627417,2.627967,2.713283,4.042733,3.998683,4.1552,3.74324494168684,4.10365,3.539667,2.865733,3.4111,2.815483,3.625267,4.038983,4.115467
o3_mics,4.9372,5,4.503083333,4.513416667,4.60975,4.564333333,4.096916667,4.415416667,3.679416667,3.861416667,3.926166667,4.012354122,4.072581831,4.564943705,2.824083333,3.476333333,4.083333333,3.686683333,3.793416667,3.770483333,3.784416667,3.82675,3.719583333,2.538916667,3.913583333,2.797145448,3.8907,3.703833333,3.6207,3.793,3.9356,4.7495,3.776633333,4.018766667,3.817116667,3.871133333,3.808283333,3.669366667,3.373233,3.244767,3.48655,3.56905,3.749217,3.692917,3.33054071743745,3.468783,3.864417,3.312683,3.553167,3.31195,3.3112,3.597983,3.20775
temp,38.75773333,39.48146667,38.2536,38.93586667,38.17426667,38.21413333,38.466,38.7934,41.38466667,39.2168,39.86673333,40.98760797,40.94811836,36.41413235,31.26393333,30.98906667,31.21446667,30.11746667,30.9092,31.3076,30.21353333,31.94653333,31.42093333,32.17773333,30.7388,31.62889175,32.4814,35.6238,34.49646667,36.0136,36.105,35.59533333,35.3608,35.50233333,37.25606667,35.0682,35.7262,34.5554,33.511,33.43107,31.93307,31.58193,31.8294,30.962,28.9373694142359,29.81787,31.48547,33.28007,32.247,33.30213,31.5806,33.5074,31.2716
hum,40.02966667,37.69653333,40.81686667,39.9778,44.4414,41.78493333,43.42373333,39.50673333,36.05506667,40.53813333,39.04493333,42.80053505,34.764647,42.91458103,41.418,42.22433333,42.2956,43.25506667,41.2014,44.01216667,42.73513333,37.7578,38.863,38.1112,40.97993333,38.95623143,52.24473333,55.69285,51.51381667,50.7108,51.99206667,48.65853333,49.4926,50.12126667,49.07513333,50.49688333,50.416,49.90313333,32.979,29.8242,33.55227,32.99653,32.34753,33.39567,44.1904491326397,35.64273,35.6356,31.57153,33.57413,31.1146,33.709,29.71273,32.9534
