MAC,00:06:66:46:49:E3,00:06:66:46:49:E6,00:06:66:46:49:E4,00:06:66:46:49:F2,00:06:66:46:49:E5,00:06:66:46:49:D8,00:06:66:46:49:D7,00:06:66:46:49:F4,00:06:66:48:57:85,00:06:66:48:57:29,00:06:66:48:57:8A,00:06:66:48:57:2C,00:06:66:46:49:E7,00:06:66:46:49:D5,00:06:66:48:57:15,00:06:66:48:57:2A,00:06:66:48:57:20,00:06:66:48:57:89,00:06:66:48:57:17,00:06:66:48:57:86,00:06:66:60:4C:39,00:06:66:60:4C:3A,00:06:66:60:4C:2E,00:06:66:60:4C:3C,00:06:66:60:4C:46,00:06:66:48:57:84,00:06:66:46:49:D4,00:06:66:45:D6:35,00:06:66:46:49:F3,00:06:66:60:4C:42,00:06:66:60:4C:33,00:06:66:60:4C:18,00:06:66:60:4C:3B,00:06:66:60:4C:32,00:06:66:60:4C:48,00:06:66:60:4C:31,00:06:66:60:4C:28,00:06:66:60:4C:43,00:06:66:48:57:21,00:06:66:48:57:16,00:06:66:48:57:2B,00:06:66:48:57:8B,00:06:66:48:57:23,00:06:66:48:57:88,00:06:66:48:57:22,00:06:66:48:57:19,00:06:66:48:57:1F,00:06:66:48:57:1E,00:06:66:48:57:87,00:06:66:48:57:14,00:06:66:48:57:28,00:06:66:46:49:E2,00:06:66:48:57:18
co_alpha,2.056516667,0.812233333,2.120166667,2.0415,1.834916667,1.920483333,1.789583333,2.112666667,1.125416667,0.989666667,0.954,1.123473078,1.861385333,1.710899269,1.441983333,1.12575,1.2723,0.983033333,1.057983333,1.286233333,1.010066667,1.044166667,1.10025,1.05545,0.957916667,1.415798336,0.98635,1.155416667,1.8193,0.9525,1.17245,1.140983333,1.192033333,0.95825,1.079833333,0.956916667,0.95675,1.187016667,1.0958,1.063617,1.092217,0.9525,0.962,1.11905,1.0563009322324,1.4739,0.9668333,0.9535833,1.013517,0.9559167,1.15995,1.00075,0.9520833
co_mics_1,2.119,2.187,1.943083333,1.88,1.826,1.532916667,2.187,2.1,1.143,1.9335,2.178,1.421083333,2.412166667,1.353,4.321,1.846,2.256,0.843666667,1.18945,1.634116667,4.353,4.38215,4.212183333,4.418433333,4.1854,4.361228365,1.02575,2.069833333,1.787333333,4.084,4.04365,1.65315,3.95235,4.1606,4.1595,3.942183333,3.914383333,4.237783333,2.188967,2.467917,1.702083,1.489,1.33475,1.729,1.90920277304081,1.338667,1.173417,2.031583,1.816,2.200667,1.928083,1.343,1.187
co_mics_2,2.433833333,2.496083333,1.637583333,2.551166667,1.942083333,2.264166667,2.1506,1.997166667,2.9022,2.730583333,2.289166667,2.793054438,2.427298439,1.353704097,3.082833333,2.47285,2.760666667,2.801016667,2.294166667,1.702083333,3.64675,3.6706,3.828916667,4.119,3.602066667,3.669636142,1.288166667,1.91625,1.476533333,4.0162,4.23485,2.807283333,4.25125,4.149416667,4.188066667,4.227283333,4.266216667,4.159333333,2.773867,2.611783,2.5258,2.645383,2.51615,2.2259,2.72289368068186,2.649717,2.362183,2.717083,2.597083,2.779617,2.643133,2.474083,2.4997
co_figaro,1.597,1.455,1.636083333,1.353,1.196,0.902916667,0.99125,1.535916667,1.409833333,1.123166667,0.889,1.302687593,2.033250414,1.340135532,3.638,1.099,0.85,1.299333333,1.504,1.28225,3.700833333,3.628,3.289833333,3.617416667,3.662,3.713721775,0.132,1.219666667,1.626,3.755,3.734583333,1.92675,3.67675,3.471216667,3.742333333,3.743416667,3.78525,3.577,1.254333,1.317667,1.352133,1.45275,1.382917,1.33325,1.00077173656745,1.768,0.86075,1.504,1.36875,1.393067,1.494833,1.353867,1.88625
no2_mics,3.432733333,3.666166667,4.854,3.54,3.6725,3.6898,4.585,4.229466667,3.366666667,3.407083333,3.551916667,3.429750609,4.555807757,4.037766748,0.95965,0.83755,0.714966667,3.0385,0.3266,1.15755,0.558383333,0.629216667,0.618733333,1.53705,0.610516667,1.592865681,1.956966667,1.359333333,2.896633333,1.63055,1.697566667,1.556483333,1.5453,1.785,1.569,1.999766667,1.957566667,1.8933,3.094983,3.27625,3.192167,2.982933,3.2355,3.30175,0.859861011135738,3.251333,3.3595,3.137333,3.26175,3.16275,3.253167,3.325667,3.143733
no2_figaro,1.099,0.990916667,4.827583333,0.981166667,1.142083333,1.328333333,4.905583333,3.691,1.82275,1.729033333,1.573583333,1.84237104,4.406161487,1.913842392,0.173716667,0.189683333,0.129166667,3.260066667,0.07765,0.80475,0.164833333,0.267766667,0.152333333,0.8462,0.138416667,0.560849886,4.658,0.279283333,3.3391,0.498283333,0.574816667,1.343816667,0.630633333,0.684583333,0.6129,0.671066667,0.521033333,0.691666667,0.7286333,0.6704167,0.8102833,0.7518333,0.7915,1.41775,0.189821038294848,0.9457167,1.0358,0.61925,0.9635833,0.8107333,0.7000167,0.574,0.7815
voc_as,4.64825,4.59025,3.315066667,4.565,3.66225,3.93705,3.599166667,3.474416667,3.124416667,3.200666667,3.591583333,1.696205974,3.422591605,4.050806797,3.896066667,1.854283333,2.72585,2.017033333,1.790833333,0.6458,3.0025,2.804416667,2.9655,3.41775,3.079416667,1.787470275,1.504383333,1.475683333,2.521216667,3.167733333,3.004166667,2.154083333,3.086683333,3.218816667,3.143183333,3.204333333,3.270616667,3.277233333,0.8192333,0.78815,0.8267833,1.935217,1.9295,2.13855,2.53636811957853,2.14825,1.367683,0.91025,1.3532,0.9158667,1.6223,2.0496,2.168333
o3_mics,1.97,4.370833333,3.536,2.19495,3.719166667,3.46415,3.5783,3.599633333,2.55255,2.862866667,2.902083333,2.736479355,3.32216861,3.986548353,1.67515,2.821683333,3.66625,2.827416667,2.884916667,2.938483333,1.126433333,1.085383333,1.018333333,0.678833333,0.968016667,1.458602425,3.3918,3.0149,2.775566667,1.352866667,1.425016667,3.466233333,1.242533333,1.30755,1.3466,1.2642,1.327716667,1.194083333,1.446617,1.37205,1.529933,1.730917,1.781333,1.88895,2.69830979687147,1.44885,1.9712,1.4708,1.54625,1.46965,1.5429,1.728967,1.34875
temp,25.6008,27.0896,25.61946667,25.91126667,24.22093333,24.442,25.26286667,26.13733333,29.21166667,26.57206667,26.66993333,26.69191184,28.45770258,24.70929437,19.38506667,18.46866667,18.58606667,18.1678,19.334,18.85246667,18.36146667,20.81046667,20.50493333,20.8492,19.19073333,19.56369875,23.2008,24.38,23.83386667,24.39803333,24.31313333,24.98015,24.7664,24.75013333,24.61131667,24.56918333,24.64423333,24.45766667,18.13187,19.32057,15.76313,17.94607,18.27493,17.81167,18.154534941522,16.7448,16.2572,16.92965,15.91185,18.78487,17.843,19.49887,18.14707
hum,16.5922,16.1258,17.8502,16.7528,17.7414,17.24106667,17.86546667,17.3898,17.80373333,18.887,17.6348,17.29754741,15.24962563,20.66267495,27.56653333,27.182,27.68766667,29.03553333,27.97673333,28.41853333,28.40553333,24.30473333,25.48826667,23.9964,26.13433333,25.28685824,23.45706667,25.85093333,19.15473333,19.3394,18.63373333,19.50626667,19.63393333,18.86853333,17.64113333,19.592,19.1898,20.87986667,8.046,7.623533,8.973867,8.569667,8.4908,8.775267,28.8456225516976,9.8234,8.930267,8.302467,8.516733,7.669467,9.1288,7.830533,9.0678

